@timestamp,FEC_attempt_no,_id,_index,_score,anatomy,anatomy.keyword,application_sw_release_id,application_sw_release_id.keyword,batch_from_date,batch_from_date.keyword,batch_to_date,batch_to_date.keyword,city,city.keyword,country,country.keyword,customer,customer.keyword,es_load_ts,event_data,event_data.keyword,event_type,event_type.keyword,exam_number,exam_number.keyword,globalOrderNumber,globalOrderNumber.keyword,hospital,hospital.keyword,ifr90_alert,ifr90_alert.keyword,ifr_event_category,ifr_event_category.keyword,ifr_event_data,ifr_event_data.keyword,ifr_event_name,ifr_event_name.keyword,ifr_event_protocol_name,ifr_event_protocol_name.keyword,ifr_main_event,ifr_main_event.keyword,indicator_id,indicator_id.keyword,indicator_message,indicator_message.keyword,indicator_severity,indicator_severity.keyword,installDate,latitude,location,log_type,log_type.keyword,longitude,machine_type,machine_type.keyword,max_warranty_startDate,productName,productName.keyword,protocol_category,protocol_category.keyword,region,region.keyword,state,state.keyword,sw_program,sw_program.keyword,sw_version,sw_version.keyword,sysid,sysid.keyword,systype,systype.keyword,zipcode,zipcode.keyword,zone,zone.keyword,,
"Jul 9, 2026 @ 02:35:11.934",-,04b41c28d0e415f4b7e76df4a9cfab9c,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",244585 Scanning hardware reset successful (1).,244585 Scanning hardware reset successful (1).,gantry_subsystem_ready,gantry_subsystem_ready,419,419,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,Gantry Subsystem is Ready,Gantry Subsystem is Ready,Gantry Subsystem Ready,Gantry Subsystem Ready,1.2 Stroke_Workup,1.2 Stroke_Workup,Gantry Subsystem Ready,Gantry Subsystem Ready,244585,244585,Scanning hardware reset successful (1).,Scanning hardware reset successful (1).,Informational,Informational,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 02:31:56.303",-,ab7181805261cf4ed42284f0c9e83681,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283","1000023033 Host : Detector Control Board    Ermes # : 1000023033 Exception Class : Soft    Severity : Pri/Soft File : DTMFaultsSubscriber.cpp    Line# : 319 Function : Data Acquisition: Detector Control Scan Type : None/Unknown Scan: 0/0/0  06-0002-3033-01: DTS has lost stable communication from a subsystem that is needed for proper thermal control of the detector. The DTS will not operate optimally. The suspected subsystem or communication path to subsystem causing issue is listed below. Subsystem IDs (1=Axial Drive,2=DetectorTemperature, 3=Gantry Thermal) Subsystem: 3","1000023033 Host : Detector Control Board    Ermes # : 1000023033 Exception Class : Soft    Severity : Pri/Soft File : DTMFaultsSubscriber.cpp    Line# : 319 Function : Data Acquisition: Detector Control Scan Type : None/Unknown Scan: 0/0/0  06-0002-3033-01: DTS has lost stable communication from a subsystem that is needed for proper thermal control of the detector. The DTS will not operate optimally. The suspected subsystem or communication path to subsystem causing issue is listed below. Subsystem IDs (1=Axial Drive,2=DetectorTemperature, 3=Gantry Thermal) Subsystem: 3",dts_communication_lost,dts_communication_lost,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,DTS has lost stable communication from a subsystem,DTS has lost stable communication from a subsystem,DTS communication lost,DTS communication lost,1.2 Stroke_Workup,1.2 Stroke_Workup,DTS communication lost,DTS communication lost,1000023033,1000023033,"Host : Detector Control Board    Ermes # : 1000023033 Exception Class : Soft    Severity : Pri/Soft File : DTMFaultsSubscriber.cpp    Line# : 319 Function : Data Acquisition: Detector Control Scan Type : None/Unknown Scan: 0/0/0  06-0002-3033-01: DTS has lost stable communication from a subsystem that is needed for proper thermal control of the detector. The DTS will not operate optimally. The suspected subsystem or communication path to subsystem causing issue is listed below. Subsystem IDs (1=Axial Drive,2=DetectorTemperature, 3=Gantry Thermal) Subsystem: 3","Host : Detector Control Board    Ermes # : 1000023033 Exception Class : Soft    Severity : Pri/Soft File : DTMFaultsSubscriber.cpp    Line# : 319 Function : Data Acquisition: Detector Control Scan Type : None/Unknown Scan: 0/0/0  06-0002-3033-01: DTS has lost stable communication from a subsystem that is needed for proper thermal control of the detector. The DTS will not operate optimally. The suspected subsystem or communication path to subsystem causing issue is listed below. Subsystem IDs (1=Axial Drive,2=DetectorTemperature, 3=Gantry Thermal) Subsystem: 3",N/A,N/A,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 02:31:26.754",-,597d9f8d6215cbf16918c17ac6ca92b7,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",244606 Performing HARD RESET through serial connection ....,244606 Performing HARD RESET through serial connection ....,gantry_subsystems_reseting,gantry_subsystems_reseting,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,Gantry subsystems are reseting,Gantry subsystems are reseting,Gantry subsystems reseting,Gantry subsystems reseting,1.2 Stroke_Workup,1.2 Stroke_Workup,Gantry subsystems reseting,Gantry subsystems reseting,244606,244606,Performing HARD RESET through serial connection ....,Performing HARD RESET through serial connection ....,Informational,Informational,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 02:30:24.117",-,a0d89297754fd28351d9cd15697b32fe,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",200002348 The System Software has terminated.,200002348 The System Software has terminated.,ifr_error_code,ifr_error_code,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,System software shut down occurred,System software shut down occurred,System software shut down,System software shut down,1.2 Stroke_Workup,1.2 Stroke_Workup,ifr_error_code,ifr_error_code,200002348,200002348,The System Software has terminated.,The System Software has terminated.,N/A,N/A,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 01:52:32.128",-,dc21ea76597bfda396af963ae084d1ea,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",200109110 Study End: Prospective Exam: 523 : Protocol: Stroke_Workup,200109110 Study End: Prospective Exam: 523 : Protocol: Stroke_Workup,Exam_end,Exam_end,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,Exam end,Exam end,EXAMEND,EXAMEND,1.2 Stroke_Workup,1.2 Stroke_Workup,Exam end,Exam end,200109110,200109110,Study End: Prospective Exam: 523 : Protocol: Stroke_Workup,Study End: Prospective Exam: 523 : Protocol: Stroke_Workup,Informational,Informational,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 01:50:27.265",-,584053b54fb77b8d3584b6e42a1b78b5,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",1099990110080 Creating DICOM association failed,1099990110080 Creating DICOM association failed,reli_error_code,reli_error_code,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,ian dicom association error  event occured,ian dicom association error  event occured,ian dicom association error,ian dicom association error,1.2 Stroke_Workup,1.2 Stroke_Workup,Reliability error events,Reliability error events,1.09999E+12,1.09999E+12,Creating DICOM association failed,Creating DICOM association failed,Critical,Critical,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 01:48:15.914",-,39c5fa8005f8724406097153af0b03da,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",1099990110080 Creating DICOM association failed,1099990110080 Creating DICOM association failed,reli_error_code,reli_error_code,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,ian dicom association error  event occured,ian dicom association error  event occured,ian dicom association error,ian dicom association error,1.2 Stroke_Workup,1.2 Stroke_Workup,Reliability error events,Reliability error events,1.09999E+12,1.09999E+12,Creating DICOM association failed,Creating DICOM association failed,Critical,Critical,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 01:48:11.925",-,feff8af9507de89e9ae471fc14cd1160,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",1099990110080 Creating DICOM association failed,1099990110080 Creating DICOM association failed,reli_error_code,reli_error_code,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,ian dicom association error  event occured,ian dicom association error  event occured,ian dicom association error,ian dicom association error,1.2 Stroke_Workup,1.2 Stroke_Workup,Reliability error events,Reliability error events,1.09999E+12,1.09999E+12,Creating DICOM association failed,Creating DICOM association failed,Critical,Critical,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 01:48:11.895",-,9870df2960b5ad4c041a479ce18ab482,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",1099990110080 Creating DICOM association failed,1099990110080 Creating DICOM association failed,reli_error_code,reli_error_code,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,ian dicom association error  event occured,ian dicom association error  event occured,ian dicom association error,ian dicom association error,1.2 Stroke_Workup,1.2 Stroke_Workup,Reliability error events,Reliability error events,1.09999E+12,1.09999E+12,Creating DICOM association failed,Creating DICOM association failed,Critical,Critical,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
"Jul 9, 2026 @ 01:48:11.871",-,f40492bdbaa81a47ab08dc594dfc3d1a,ct_sitedata_ext2_indicator_events_m-2026.07.01,-,Head,Head,25MW27.33,25MW27.33,"Jul 8, 2026 @ 17:30:00.000",2026-07-08T12:00:00.000+0000,"Jul 9, 2026 @ 05:30:00.000",2026-07-09T00:00:00.000+0000,USA Other,USA Other,United States of America,United States of America,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,"Jul 9, 2026 @ 16:21:08.283",1099990110080 Creating DICOM association failed,1099990110080 Creating DICOM association failed,reli_error_code,reli_error_code,523,523,ADMIN SID,ADMIN SID,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,GE MEDICAL SYSTEMS GLOBAL HEADQUARTERS,N,N,Unknown,Unknown,ian dicom association error  event occured,ian dicom association error  event occured,ian dicom association error,ian dicom association error,1.2 Stroke_Workup,1.2 Stroke_Workup,Reliability error events,Reliability error events,1.09999E+12,1.09999E+12,Creating DICOM association failed,Creating DICOM association failed,Critical,Critical,"Oct 10, 2017 @ 05:30:00.000",42.996,POINT (-88.3115 42.9962),Revo_RTS_Data,Revo_RTS_Data,-88.311,Internal,Internal,"Oct 10, 2017 @ 05:30:00.000",Revolution CT (Rev 160),Revolution CT (Rev 160),1,1,USCAN,USCAN,WI,WI,unknown,unknown,25MW27.33,25MW27.33,CTBAY52WSO,CTBAY52WSO,Revolution CT,Revolution CT,53188,53188,USA Other,USA Other,,
