tier,map,dashboard,group,charts,alert_refs,detectors,last_updated
A,AWS RDS (aws pkg),RDS Prod,SRE EKS - AWS Services USW,13,2101,102,2026-05-25
A,Kubernetes,K8s container,Kubernetes,9,301,30,2026-06-29
A,Kubernetes,USW_EKS_POD's,SRE_EKS_POD's,4,160,21,2025-04-03
A,AWS ELB (aws pkg),ALB Prod,SRE EKS - AWS Services USW,7,86,42,2024-07-15
A,AWS EC2/EBS (aws pkg),EC2 instances,AWS EC2,27,60,12,2026-08-05
A,Kubernetes,ELASTIC SEARCH PROD ,SRE EKS - AWS Services USW,13,60,6,2025-09-15
A,Kubernetes,K8s Pods,K8s Pods,2,50,5,2023-11-02
A,Cassandra,Tables,Timeseries Keyspace,18,32,2,2026-08-10
A,AWS ELB (aws pkg),ALB Prod EUC,SRE EKS - EUC AWS Services,7,16,8,2023-12-22
A,AWS MSK/Kinesis (aws pkg),Timeseries MSK-US WEST,Timeseries Keyspace,23,8,1,2026-07-15
A,AWS MSK/Kinesis (aws pkg),Timeseries MSK -EU,Timeseries Keyspace,23,8,1,2025-07-03
A,AWS SQS (aws pkg),SQS Queue,AWS SQS,7,6,6,2025-11-06
A,ZooKeeper,Predix-Timeseries-zookeeper-prod-EU,Predix-Timeseries-EU,24,3,2,2024-08-30
A,HAProxy,Predix-Timeseries-Ha-proxy-prod-EU,Predix-Timeseries-EU,22,3,1,2023-06-16
A,ZooKeeper,Predix-Timeseries-Zookeeper-Prod,Predix-Timeseries-US-West,20,3,1,2024-09-03
A,Kafka,Predix-Timeseries-Kafka-Prod,Predix-Timeseries-US-West,25,1,1,2024-09-30
A,Kafka,Predix-Timeseries-Kafka-prod-EU,Predix-Timeseries-EU,24,1,1,2025-04-16
A,HAProxy,Predix-timeseries-Ha-Proxy-Prod,Predix-Timeseries-US-West,20,1,1,2023-06-16
A,Kubernetes,K8s control plane summary,Kubernetes,41,0,0,2026-06-29
A,OTel Collector,OpenTelemetry Collector,OpenTelemetry Collector,36,0,0,2026-07-17
A,AWS RDS (aws pkg),RDS Overview,Timeseries Keyspace,30,0,0,2026-07-16
A,AWS RDS (aws pkg),RDS instances,AWS RDS,30,0,0,2026-05-22
A,Kubernetes,Debug_EKS,Smart Factory Cloud,28,0,0,2026-07-10
A,Kubernetes,Debug_EKS,Smart Factory Cloud,28,0,0,2026-07-01
A,Kubernetes,Debug_EKS_new,Smart Factory Cloud,27,0,0,2026-07-01
A,AWS RDS (aws pkg),RDS instance,AWS RDS,27,0,0,2026-05-22
A,Kubernetes,K8s cluster services,Kubernetes,23,0,0,2026-06-29
A,Elastic APM,Service,APM services,23,0,0,2026-06-30
A,AWS EC2/EBS (aws pkg),EC2 Instances,Timeseries Keyspace,22,0,0,2026-08-10
A,Kubernetes,SFC_Scheduler_EKS_Metrics,Smart Factory Cloud,22,0,0,2026-07-27
A,Kubernetes,Cases EKS,cases,22,0,0,2026-06-11
A,Kubernetes,Analysis EKS,Analysis,22,0,0,2026-03-24
A,Kubernetes,EKS-SW_PROD1,Smart Factory Cloud,21,0,0,2026-08-05
A,OTel Collector,Hosts (OTel),Host overview,21,0,0,2026-05-26
